user_id,item_id_list,item_id_list_len,gender,age,consume_level,label
10000080,407;139,2,0,3,0,139
10000080,407;139,2,0,3,0,407
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,12346
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,28198
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,471667
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,104070
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,1390849
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,86986
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,51013
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,200
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,672875
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,395203
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,98519
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,4673
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,11268
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,209553
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,11268
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,589
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,124
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,431
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,2697
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,3927
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,714
100001,12346;200;179845;11268;86986;28198;114081;40576;2697;10660;117946;209553;124;11268;652;4673;714;285;589;51013;1390849;471667;98519;672875;3927;110;110;431;104070;395203,30,0,0,1,110
